文件名,类别,翻译类别名,样本名称,名称翻译,采集时间
AMPHIBOLES.csv,Minerals,矿物成分,AMPHIBOLES,角闪石,10/13/2021 
APATITES.csv,Minerals,矿物成分,APATITES,磷灰石,10/13/2021 
CARBONATES.csv,Minerals,矿物成分,CARBONATES,碳酸盐,10/13/2021 
CHALCOGENIDES.csv,Minerals,矿物成分,CHALCOGENIDES,硫属化合物,10/13/2021 
CLAY MINERALS.csv,Minerals,矿物成分,CLAY MINERALS,粘土矿物,10/13/2021 
CLINOPYROXENES.csv,Minerals,矿物成分,CLINOPYROXENES,单斜辉石,10/13/2021 
FELDSPARS.csv,Minerals,矿物成分,FELDSPARS,长石,10/13/2021 
FELDSPATHOIDES.csv,Minerals,矿物成分,FELDSPATHOIDES,长石,10/13/2021 
GARNETS.csv,Minerals,矿物成分,GARNETS,石榴石,10/13/2021 
ILMENITES.csv,Minerals,矿物成分,ILMENITES,钛铁矿,10/13/2021 
MICA.csv,Minerals,矿物成分,MICA,云母,10/13/2021 
OLIVINES.csv,Minerals,矿物成分,OLIVINES,橄榄石,10/13/2021 
ORTHOPYROXENES.csv,Minerals,矿物成分,ORTHOPYROXENES,正辉石,10/13/2021 
PEROVSKITES.csv,Minerals,矿物成分,PEROVSKITES,钙钛矿,10/13/2021 
PYROXENES.csv,Minerals,矿物成分,PYROXENES,辉石,10/13/2021 
QUARTZ.csv,Minerals,矿物成分,QUARTZ,石英,10/13/2021 
SPINELS.csv,Minerals,矿物成分,SPINELS,尖晶石,10/13/2021 
TITANITES.csv,Minerals,矿物成分,TITANITES,钛铁矿,10/13/2021 
ZIRCONS.csv,Minerals,矿物成分,ZIRCONS,锆石,10/13/2021 
ADAKITE.csv,Rocks,岩石成分,ADAKITE,埃达克岩,10/13/2021 
ANDESITE BASALTIC part1.csv,Rocks,岩石成分,ANDESITE BASALTIC part1,安山-玄武岩第1部分,10/13/2021 
ANDESITE BASALTIC part2.csv,Rocks,岩石成分,ANDESITE BASALTIC part2,安山-玄武岩第2部分,10/13/2021 
