Method,Accuracy_all,CI_all,n_all,Accuracy_TAScomp,CI_TAScomp,n_TAScomp
Classical TAS,0.65339881106229,"[0.645, 0.661]",11607,0.70739669806921,"[0.700, 0.715]",10721
KDE+SoftMax (adaptive bw),0.5527869508656059,"[0.546, 0.559]",19986,0.5725156417338368,"[0.566, 0.580]",17741
LDA (on ilr),0.6944861402982088,"[0.689, 0.701]",19986,0.7365988388478665,"[0.730, 0.743]",17741
QDA (on ilr),0.48058641048734113,"[0.474, 0.487]",19986,0.5014373485147399,"[0.493, 0.511]",17741
PCA(10)+KDE+SoftMax,0.5031522065445813,"[0.497, 0.510]",19986,0.5114142382052872,"[0.504, 0.518]",17741
PCA(10)+LDA,0.5819073351345943,"[0.575, 0.588]",19986,0.6209909249760442,"[0.614, 0.628]",17741
Trace-only KDE+SoftMax (ilr),0.4921945361753227,"[0.485, 0.499]",19986,0.49816808522631195,"[0.492, 0.505]",17741
Trace-only LDA (on ilr),0.4513659561693185,"[0.444, 0.459]",19986,0.4888112282283975,"[0.482, 0.496]",17741
"LDA (shrinkage, on ilr)",0.6927849494646252,"[0.687, 0.699]",19986,0.7347387407699679,"[0.728, 0.741]",17741
Random Forest (on ilr),0.7669368557990593,"[0.762, 0.772]",19986,0.8079025985006482,"[0.801, 0.814]",17741
"Random Forest (major-only, on ilr)",0.7672871009706794,"[0.762, 0.772]",19986,0.8067752663322247,"[0.799, 0.811]",17741
