,Adakite,Andesite,Ankaramite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Adakite,22,12,0,0,1,0,0,48,0,0,0,0,0,0,0,0,23,15,0,0,0,0,1
Andesite,18,935,1,89,10,9,46,117,2,2,0,17,12,1,7,2,16,11,32,0,115,11,16
Ankaramite,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Basalt,17,289,9,1527,217,5,32,14,70,3,26,10,61,2,2,120,7,7,52,20,29,233,3
Basanite,0,0,1,3,227,0,0,0,5,1,0,0,2,5,0,0,0,0,0,2,0,3,0
Benmoreite,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Boninite,0,1,1,4,0,0,34,1,0,0,10,0,0,0,0,4,0,0,1,0,0,0,0
Dacite,92,181,0,11,3,1,12,288,0,1,2,19,0,0,0,0,57,47,3,7,23,1,19
Hawaiite,0,3,0,6,41,0,0,0,9,0,0,0,3,0,0,0,0,0,0,4,2,36,0
Kimberlite,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
Komatiite,0,0,1,2,0,0,1,0,0,0,86,0,0,0,0,3,0,0,0,0,0,0,0
Latite,0,3,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,0,16,0,12,0,2
Mugearite,0,2,0,1,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0
Nephelinite,0,0,0,1,50,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Phonolite,0,5,0,0,0,0,0,2,0,0,0,2,0,0,120,0,0,4,3,0,1,0,7
Picrite,0,0,0,19,12,0,1,0,0,0,12,1,1,2,0,101,0,0,0,0,0,0,0
Rhyodacite,3,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,18,7,0,0,1,1,2
Rhyolite,13,9,0,10,0,0,2,91,0,2,6,0,2,0,10,0,71,594,10,0,6,4,56
Shoshonite,0,1,0,4,1,0,0,0,0,0,0,7,0,0,0,0,0,0,23,0,5,6,1
Tephrite,0,0,0,1,85,3,0,0,5,0,0,1,1,0,0,0,0,0,0,13,2,2,2
Trachyandesite,2,23,0,0,0,1,0,11,0,0,0,8,0,0,3,0,2,2,12,0,72,8,3
Trachybasalt,0,9,0,3,12,0,0,0,6,0,0,3,2,1,0,0,0,0,10,2,3,37,0
Trachyte,0,8,0,1,0,0,0,13,0,0,0,2,0,0,14,0,11,10,3,1,15,0,80
