Label,CitationID,n_dropped,median_mahalanobis
Adakite,10270,5,77.99927133354838
Adakite,10558,17,199.0384168138762
Adakite,10965,6,223.43787352975914
Adakite,11653,2,36.793768191875785
Adakite,14501,2,157.93988902488275
Adakite,16629,14,31.08054116343866
Adakite,18473,19,32.19638510049548
Adakite,19488,18,199.0829517953196
Adakite,23304,4,156.12885748182424
Adakite,5372,5,32.24327569294806
Adakite,7189,1,59.807858434209344
Adakite,7993,9,73.21836742022677
Andesite,10063,1,149.5942989462664
Andesite,10193,65,66.31657881482408
Andesite,10224,2,176.06156345650308
Andesite,10912,1,33.31478494082135
Andesite,11043,1,49.4054231911425
Andesite,11105,2,49.71451613402911
Andesite,11114,2,42.27550632842604
Andesite,11170,11,59.85770133277462
Andesite,11525,1,65.25406267254074
Andesite,11892,3,53.96814446143681
Andesite,12088,8,63.946777395190196
Andesite,12586,4,64.23079152969456
Andesite,12828,2,38.00746435081176
Andesite,13018,1,57.183680807739265
Andesite,13057,1,63.33737819836609
Andesite,13064,2,67.26628653422885
Andesite,13152,1,46.88710359995556
Andesite,13302,3,60.61344960876651
Andesite,13538,6,37.3735854948579
Andesite,13693,1,66.55050453008496
Andesite,13922,1,46.736925202263215
Andesite,14078,2,63.79106065989511
Andesite,14236,1,61.71107069739632
Andesite,15615,1,34.443577426036725
Andesite,15899,2,65.82503430380332
Andesite,15914,14,54.100266166528115
Andesite,16345,5,68.49556001526615
Andesite,16467,2,57.817406967829214
Andesite,16943,1,29.36976714454774
Andesite,17180,192,30.167036185216663
Andesite,17517,13,65.16782082043429
Andesite,18103,2,73.30793477395692
Andesite,18292,15,66.8834478264634
Andesite,18600,3,72.40348926293589
Andesite,18697,1,62.49968493115576
Andesite,18927,17,69.54371902273573
Andesite,19068,1,65.9175226187834
Andesite,19259,17,244.59820123655982
Andesite,20087,2,181.24610677674593
Andesite,20301,2,29.597659575866224
Andesite,20392,1,352.53287631872877
Andesite,20518,79,31.116411738193865
Andesite,2087,10,84.43685982599551
Andesite,20891,12,34.02714643945674
Andesite,20930,1,50.4158853188742
Andesite,2218,19,57.121743908304154
Andesite,23304,4,63.99993380100824
Andesite,23458,2,71.46742317625858
Andesite,23880,6,110.62109351511964
Andesite,24351,6,58.84845630828697
Andesite,24356,9,48.73235238090647
Andesite,24380,13,157.32571055442182
Andesite,24428,10,83.8461967217153
Andesite,24879,6,38.935394542884886
Andesite,24953,18,1710.3101670400101
Andesite,2565,7,32.63893438990319
Andesite,25701,71,78.06730621981131
Andesite,25712,9,33.389415818641055
Andesite,26107,2,31.20634221294313
Andesite,2613,5,62.73955795347482
Andesite,26444,2,31.159023122818652
Andesite,26579,2,75.62752902787807
Andesite,2667,1,62.81782879998587
Andesite,26788,5,94.12483445694595
Andesite,26932,21,35.00000301739786
Andesite,2830,1,30.17871673538251
Andesite,28668,6,477.05276973116906
Andesite,2871,5,42.74189600170324
Andesite,28869,5,65.87126796134163
Andesite,29076,3,60.48496098695176
Andesite,3090,3,66.31158680537787
Andesite,3268,12,60.99519902509742
Andesite,3287,2,61.67936604828255
Andesite,3291,46,45.17009552798288
Andesite,3483,8,61.0483184707547
Andesite,3576,11,60.37946228832988
Andesite,3731,3,62.8253847361797
Andesite,3732,3,64.32871610283055
Andesite,3802,16,70.31223579253287
Andesite,3804,5,63.438023251703484
Andesite,3855,7,32.22949782143555
Andesite,4151,7,65.2230496812641
Andesite,4223,3,72.00743645338608
Andesite,4244,8,62.83254076934452
Andesite,4463,5,62.20720394828764
Andesite,4469,2,67.74613006048557
Andesite,4760,4,29.01535827422334
Andesite,4890,2,30.895051710203994
Andesite,5250,1,52.97918974950385
Andesite,5506,1,62.182284081975496
Andesite,5565,3,182.23224938600782
Andesite,5820,8,53.206127077415985
Andesite,5823,2,30.231402834683607
Andesite,5839,2,33.685364925390736
Andesite,5847,7,56.31550858221255
Andesite,5848,6,50.167226863406924
Andesite,5851,6,59.06961467437028
Andesite,6338,2,60.20495328983688
Andesite,6433,10,59.445506106423636
Andesite,6455,11,61.34347141307005
Andesite,6627,12,37.74046213961087
Andesite,7024,7,55.88961785218327
Andesite,7025,2,35.973926466590925
Andesite,7093,2,40.57540480642102
Andesite,7164,7,64.95424849763121
Andesite,7166,17,60.12577438150318
Andesite,7356,2,65.12918272479274
Andesite,7427,3,54.79593371015786
Andesite,7604,1,74.05886731292826
Andesite,8386,2,70.3919447179781
Andesite,8684,4,29.453587524007066
Andesite,8685,2,29.137959034958488
Andesite,8700,13,67.46093813225332
Andesite,8706,47,56.49321122377378
Andesite,8721,4,67.52504741726655
Andesite,8790,8,52.45473858909361
Andesite,8811,1,34.90740681323424
Andesite,8906,6,172.77971441218335
Andesite,8917,3,45.35742900022822
Andesite,8983,5,71.29212067995363
Andesite,9010,3,65.32976529279397
Andesite,9063,3,30.247321393709797
Andesite,9290,12,30.294827457138425
Andesite,9319,1,175.59089915999397
Andesite,9390,6,73.76088298931509
Andesite,9484,2,63.62324606555982
Andesite,9703,21,55.68688704312032
Andesite,9774,9,61.48568755343919
Andesite,9822,1,31.066787773013125
Andesite,9911,1,35.1373305031376
Andesite,9922,2,42.01549146031151
Andesite,9938,4,33.21964194156271
Ankaramite,11456,1,95.20899432461458
Ankaramite,14273,1,31.54761171947208
Ankaramite,1822,7,67.44787380724725
Ankaramite,19759,1,62.943717934018366
Ankaramite,3452,3,85.85532968676326
Ankaramite,3500,1,31.535312040418262
Ankaramite,3732,2,58.99372547120868
Ankaramite,6171,1,45.21833390755136
Basalt,10029,2,39.966662685270876
Basalt,10170,1,53.594238769828934
Basalt,10193,40,56.99856744300708
Basalt,10267,2,44.888631357680005
Basalt,10363,8,48.26594079871505
Basalt,10449,5,139.84121537586682
Basalt,10488,12,30.432477305343802
Basalt,10770,2,73.35805915471384
Basalt,10907,3,48.32947235523628
Basalt,10968,2,196.09748946044692
Basalt,11032,7,39.612122825982894
Basalt,11105,5,39.40967029733327
Basalt,11190,10,54.46612544795077
Basalt,11497,21,52.732875299677794
Basalt,11525,2,35.96966057704971
Basalt,11574,1,47.2164489667163
Basalt,11780,3,42.236738458450624
Basalt,11892,4,47.07173546329858
Basalt,12088,3,61.402802680360324
Basalt,12296,34,31.77190419722123
Basalt,12334,8,40.035107072016984
Basalt,12586,6,58.91995801493576
Basalt,12764,30,47.97191876017975
Basalt,12797,1,72.55952030692742
Basalt,12933,3,49.836600935022034
Basalt,12984,27,32.17587874146565
Basalt,13018,15,59.34870893705431
Basalt,13043,8,118.40898057831107
Basalt,13064,6,33.52331404957009
Basalt,13153,1,67.49108870213205
Basalt,13239,3,33.42891952331192
Basalt,13302,2,34.7786265607353
Basalt,13460,13,29.303841504033933
Basalt,13496,1,69.33384449054809
Basalt,13527,81,31.835594294179202
Basalt,13618,14,35.18717401242242
Basalt,13922,6,29.661335898657253
Basalt,13978,1,29.405650455648058
Basalt,14184,34,63.384188897968585
Basalt,14396,1,145.8835598533811
Basalt,14790,22,64.01948404019167
Basalt,14797,6,55.05530898075951
Basalt,14880,6,128.53646865318524
Basalt,14964,1,161.11686761022486
Basalt,15188,61,61.590793231648114
Basalt,15224,2,58.17594079461972
Basalt,15416,7,78.11888456000692
Basalt,15421,10,53.769298148134766
Basalt,15579,5,30.03288170055161
Basalt,15863,13,42.990591589229574
Basalt,16257,5,63.37135030039174
Basalt,16344,3,31.506381431205114
Basalt,16467,3,43.9570666004039
Basalt,16566,2,89.23929209860042
Basalt,16806,12,77.763170934555
Basalt,16962,5,70.27542480595936
Basalt,17010,5,31.007176343977857
Basalt,17410,3,51.16358449753041
Basalt,17517,2,66.6568009828796
Basalt,17697,1,32.643030926710864
Basalt,17809,5,126.51354375491748
Basalt,17874,27,37.18328055655405
Basalt,18137,14,42.68817226921449
Basalt,18292,4,61.4383540666671
Basalt,1833,16,39.814926627926965
Basalt,18697,1,50.68428261327023
Basalt,1905,16,65.72584971915084
Basalt,19065,3,263.53247625839685
Basalt,19068,1,35.184662499097165
Basalt,1922,40,44.164769949064464
Basalt,19684,22,328.69778382126674
Basalt,20386,15,30.622416294200473
Basalt,20392,2,151.15458416338043
