Label,CitationID,m_median,m_mean,n_samples
Adakite,10558,1.0,1.0,17
Andesite,24953,1.0,1.0,18
Trachyte,7604,1.0,0.9959865406430369,3
Rhyolite,5527,1.0,1.0,10
Adakite,10965,1.0,1.0,6
Boninite,25732,1.0,0.9050559852307433,12
Basalt,24953,1.0,1.0,4
Basalt,16962,1.0,0.8185301121138521,5
Andesite,8906,1.0,1.0,6
Dacite,18927,1.0,0.9999999720164402,3
Andesite,18927,1.0,0.9999999999131056,17
Adakite,12642,0.9999999999921866,0.7894182609421772,9
Benmoreite,24136,0.9999999999392718,0.9998663015286814,3
Trachybasalt,13058,0.9999999994394196,0.9482057699688861,5
Picrite,13519,0.9999999967870539,0.9999225489098857,4
Andesite,17294,0.9999999736250431,0.9669270872715414,16
Rhyolite,19068,0.9999999651237822,0.7699219218868061,7
Basalt,17010,0.9999998951492921,0.9999997666861098,5
Rhyolite,7604,0.9999998843811309,0.9067335828782768,8
Trachyte,24136,0.9999988491264832,0.9999953209707465,3
Basalt,9755,0.9999981777493906,0.9999904167307531,3
Dacite,20876,0.9999966162655738,0.9991653024871471,3
Tephrite,12757,0.9999874803434436,0.9378332308651626,10
Dacite,17294,0.9999738664865023,0.9745346787903304,16
Basalt,22229,0.9999161414554286,0.8843079800572197,13
Andesite,20521,0.9998881297204221,0.9916086758561511,50
Hawaiite,8991,0.9998616533309644,0.7801820940609839,7
Phonolite,12761,0.999841703485568,0.9983005882955149,3
Hawaiite,13369,0.9998382936484029,0.9904262109013537,5
Dacite,21851,0.9997378336978269,0.803153490521964,3
Dacite,28496,0.9997274305197363,0.998278668398085,3
Basalt,18505,0.9997091676804144,0.9882127875301028,8
Dacite,2388,0.9996298869402681,0.684119110138211,3
Picrite,15662,0.9996001438122446,0.9838190606786646,6
Tephrite,8137,0.9995591531042481,0.9878791548936819,7
Andesite,5848,0.9995456892131149,0.7945175706331159,6
Adakite,13550,0.999349735403794,0.9961292825036437,10
Dacite,2271,0.9991955999077454,0.5998728892785945,5
Basalt,7024,0.9990634027783374,0.8486723550751211,7
Andesite,19058,0.9988946795462137,0.9967647292390932,3
Rhyolite,28861,0.9988893633475947,0.9972187330738187,3
Basalt,15347,0.9986935375371915,0.995404855069875,3
Shoshonite,4353,0.9983241294045901,0.9581162988024989,8
Trachybasalt,23721,0.9981666677942502,0.9657421380761605,8
Andesite,3699,0.9978906172262398,0.9957311223832367,3
Dacite,8790,0.9976885051805146,0.7825684771434368,8
Basalt,18714,0.9974805849022048,0.9975315185240478,6
Basalt,10981,0.9969219958141553,0.9925435651648374,10
Nephelinite,7765,0.9966542059844888,0.9849361122066509,17
Tephrite,25766,0.9965629971964108,0.9965693473102614,59
Picrite,16063,0.9965500162591692,0.9829107814603724,8
Andesite,18505,0.9964885885709456,0.9337426859804551,3
Basalt,29807,0.9964265170779653,0.9957716296864464,3
Latite,7716,0.9961175476202093,0.9944276607246996,4
Rhyodacite,26747,0.9957380014162618,0.9940512439184144,10
Hawaiite,13450,0.9954282738258592,0.9959604100791841,5
Dacite,19058,0.9953952726024982,0.8317629008072127,6
Andesite,23938,0.9952492455370328,0.9253964184807679,11
Basalt,23981,0.9949726404646635,0.9446600855625632,26
Basalt,10701,0.9944174188660875,0.9940504585152805,3
Basalt,16847,0.9938373976439887,0.9298674928382029,43
Basalt,28560,0.9938238299869705,0.9920179424404392,5
Basalt,24450,0.9932877449662347,0.986327035446903,4
Rhyolite,20876,0.9932471915617969,0.5857773153301932,12
Hawaiite,9097,0.9923158732457195,0.9705391909197824,9
Dacite,12741,0.9922542389994864,0.7595407914368343,4
Rhyodacite,12761,0.9920017625566879,0.9946168811224863,3
Basalt,19344,0.9914400487473912,0.9863334840207254,9
Basalt,8457,0.990997617366866,0.9539240172952965,3
Andesite,20730,0.990640991961831,0.941452348074625,8
Hawaiite,7620,0.9904462180408932,0.9858674216419121,4
Basalt,20144,0.9898153131807337,0.9099133557833721,12
Nephelinite,19855,0.9895352007601093,0.9781361081611231,22
Basalt,11049,0.9893362928572921,0.9270163034798572,19
Basalt,15009,0.9892860277384241,0.8182827170382145,23
Trachyte,20318,0.9880880286172679,0.8669868528131586,10
Basalt,19710,0.9871618497923325,0.9850207877992917,9
Trachyte,9506,0.9870567411730817,0.9856742743434399,4
Trachyte,11284,0.9863984815947553,0.845418512115213,3
Rhyolite,14967,0.9859930511685644,0.8832378708360875,18
Trachybasalt,25975,0.9854455859376542,0.9844012924295145,6
Basalt,29197,0.9853606272609559,0.7210132965148598,12
Basalt,2771,0.9853196084318558,0.8875285689090354,10
Hawaiite,14713,0.9850822389942375,0.9793390408138787,7
Hawaiite,22512,0.9841150082191594,0.9331053374120484,4
Basalt,12041,0.9825962284225006,0.9785087612378393,5
Trachyte,23690,0.981610571671613,0.9767851488223986,4
Latite,6919,0.9809806265603692,0.9077189663378716,8
Dacite,18115,0.9797666235046322,0.6836783715494968,9
Basalt,5250,0.9797167242988304,0.9602996390128947,11
Basalt,26072,0.9796151884914956,0.9787168826929753,8
Basalt,12296,0.978919706563516,0.6377194703588939,34
Nephelinite,29752,0.9759134722095124,0.827404789356228,7
Trachyandesite,9506,0.9744626686011422,0.6858962973845389,10
Picrite,4586,0.9735927811736559,0.9463910792603433,6
Rhyolite,26768,0.9719360049236511,0.7025086721142756,3
Trachyandesite,23721,0.9709507802531552,0.7886253229958787,6
Basalt,18045,0.9708304784031462,0.9349935974403494,5
Dacite,23575,0.969936485170021,0.9280171058971105,36
Basalt,24779,0.9695210013838517,0.9544819109802178,4
