Label,n_samples,n_citations,TAS_acc,TAS_CI,SoftMax_acc,SoftMax_CI,mislabel_flag_rate,mislabel_CI,n_flagged_citations,irreducible_mean,irreducible_max,irreducible_max_partner,reducible_error
Adakite,122,9,0.0,"[0.00, 0.00]",0.18032786885245902,"[0.11, 0.25]",0.4444444444444444,"[0.11, 0.78]",4,0.07398800548122583,0.29935547828252423,Dacite,0.5203166528650167
Andesite,1469,181,0.45064669843430905,"[0.42, 0.47]",0.6364874063989108,"[0.62, 0.66]",0.06077348066298342,"[0.03, 0.10]",11,0.11389318545956088,0.30187863836385004,Dacite,0.06163395523723919
Ankaramite,7,3,0.0,"[0.00, 0.00]",0.2857142857142857,"[0.00, 0.57]",0.0,"[0.00, 0.00]",0,,,nan,0.0
Basalt,2755,250,0.3560798548094374,"[0.34, 0.37]",0.5542649727767696,"[0.53, 0.57]",0.12,"[0.08, 0.16]",30,0.13576570689401224,0.32305795436387774,Hawaiite,0.1226770728593527
Basanite,249,37,0.6305220883534136,"[0.58, 0.68]",0.9116465863453815,"[0.88, 0.94]",0.0,"[0.00, 0.00]",0,0.06464469419024785,0.2504428887259247,Trachybasalt,0.0
Benmoreite,6,4,0.0,"[0.00, 0.00]",0.0,"[0.00, 0.00]",0.25,"[0.00, 0.75]",1,,,nan,0.0
Boninite,56,6,0.0,"[0.00, 0.00]",0.6071428571428571,"[0.48, 0.71]",0.16666666666666666,"[0.00, 0.50]",1,0.02705098937625707,0.12679218310515364,Picrite,0.2660649597519893
Dacite,767,143,0.4276401564537158,"[0.40, 0.46]",0.3754889178617992,"[0.35, 0.41]",0.08391608391608392,"[0.04, 0.13]",12,0.10688465239355935,0.30187863836385004,Andesite,0.3226324437743507
Hawaiite,104,18,0.0,"[0.00, 0.00]",0.08653846153846154,"[0.03, 0.14]",0.3888888888888889,"[0.17, 0.61]",7,0.1160696143620904,0.33088510865977344,Trachybasalt,0.582576429801765
Kimberlite,22,5,0.0,"[0.00, 0.00]",1.0,"[1.00, 1.00]",0.0,"[0.00, 0.00]",0,0.009084132694241211,0.057730189804858556,Trachyte,0.0
Komatiite,93,13,0.0,"[0.00, 0.00]",0.9247311827956989,"[0.87, 0.98]",0.0,"[0.00, 0.00]",0,0.015297832865041586,0.13999721948100394,Picrite,0.0
Latite,43,10,0.0,"[0.00, 0.00]",0.06976744186046512,"[0.00, 0.14]",0.2,"[0.00, 0.50]",2,0.13162548994305442,0.3739411995882211,Trachyandesite,0.5562913585513138
Mugearite,16,10,0.0,"[0.00, 0.00]",0.1875,"[0.00, 0.44]",0.0,"[0.00, 0.00]",0,0.11541010774753639,0.3224414525978024,Trachybasalt,0.4900585474021976
Nephelinite,54,8,0.0,"[0.00, 0.00]",0.018518518518518517,"[0.00, 0.06]",0.375,"[0.12, 0.75]",3,0.08210716789492549,0.4108827233773295,Tephrite,0.5705987581041521
Phonolite,144,15,0.24305555555555555,"[0.19, 0.32]",0.8333333333333334,"[0.76, 0.90]",0.06666666666666667,"[0.00, 0.20]",1,0.041627751812126954,0.2514819207912508,Trachyte,0.0
Picrite,149,21,0.0,"[0.00, 0.00]",0.6778523489932886,"[0.60, 0.76]",0.19047619047619047,"[0.05, 0.38]",4,0.050920614183321375,0.16544407249086482,Basalt,0.15670357851584657
Rhyodacite,61,15,0.0,"[0.00, 0.00]",0.29508196721311475,"[0.18, 0.41]",0.13333333333333333,"[0.00, 0.33]",2,0.08379349704202338,0.26406437400497845,Rhyolite,0.4408536587819068
Rhyolite,886,129,0.5045146726862303,"[0.48, 0.54]",0.6704288939051919,"[0.64, 0.70]",0.05426356589147287,"[0.02, 0.09]",7,0.055087382775238926,0.26406437400497845,Rhyodacite,0.06550673208982966
Shoshonite,48,10,0.0,"[0.00, 0.00]",0.4791666666666667,"[0.35, 0.60]",0.1,"[0.00, 0.30]",1,0.11675617651938197,0.3226135151925579,Trachyandesite,0.19821981814077538
Tephrite,115,14,0.0,"[0.00, 0.00]",0.11304347826086956,"[0.06, 0.17]",0.21428571428571427,"[0.00, 0.43]",3,0.11912708255640707,0.4108827233773295,Nephelinite,0.4760737983618009
Trachyandesite,147,28,0.272108843537415,"[0.21, 0.34]",0.4897959183673469,"[0.40, 0.56]",0.07142857142857142,"[0.00, 0.18]",2,0.1315429084689531,0.3739411995882211,Latite,0.136262882044432
Trachybasalt,88,26,0.0,"[0.00, 0.00]",0.42045454545454547,"[0.32, 0.52]",0.11538461538461539,"[0.00, 0.23]",3,0.13745745911953386,0.33088510865977344,Hawaiite,0.24866034588568114
Trachyte,158,39,0.6139240506329114,"[0.53, 0.69]",0.5063291139240507,"[0.43, 0.58]",0.15384615384615385,"[0.05, 0.28]",6,0.09838548791947001,0.2768347066604093,Latite,0.21683617941554
