,mean_irreducible,max_irreducible,max_partner
Basanite,0.06464469419024785,0.2504428887259247,Trachybasalt
Rhyodacite,0.08379349704202338,0.26406437400497845,Rhyolite
Foidite,,,nan
Tephrite,0.11912708255640707,0.4108827233773295,Nephelinite
Benmoreite,,,nan
Boninite,0.02705098937625707,0.12679218310515364,Picrite
Kimberlite,0.009084132694241211,0.057730189804858556,Trachyte
Rhyolite,0.055087382775238926,0.26406437400497845,Rhyodacite
Shoshonite,0.11675617651938197,0.3226135151925579,Trachyandesite
Andesite,0.11389318545956088,0.30187863836385004,Dacite
Mugearite,0.11541010774753639,0.3224414525978024,Trachybasalt
Ankaramite,,,nan
Picrite,0.050920614183321375,0.16544407249086482,Basalt
Komatiite,0.015297832865041586,0.13999721948100394,Picrite
Basalt,0.13576570689401224,0.32305795436387774,Hawaiite
Adakite,0.07398800548122583,0.29935547828252423,Dacite
Nephelinite,0.08210716789492549,0.4108827233773295,Tephrite
Trachyandesite,0.1315429084689531,0.3739411995882211,Latite
Latite,0.13162548994305442,0.3739411995882211,Trachyandesite
Hawaiite,0.1160696143620904,0.33088510865977344,Trachybasalt
Phonolite,0.041627751812126954,0.2514819207912508,Trachyte
Dacite,0.10688465239355935,0.30187863836385004,Andesite
Trachyte,0.09838548791947001,0.2768347066604093,Latite
Trachybasalt,0.13745745911953386,0.33088510865977344,Hawaiite
