,Basanite,Rhyodacite,Foidite,Tephrite,Benmoreite,Boninite,Kimberlite,Rhyolite,Shoshonite,Andesite,Mugearite,Ankaramite,Picrite,Komatiite,Basalt,Adakite,Nephelinite,Trachyandesite,Latite,Hawaiite,Phonolite,Dacite,Trachyte,Trachybasalt
Basanite,1.0,0.012046599522089729,,0.18946285529600534,,0.005979072168295438,0.004740693067570241,0.002205766942427681,0.028978514145475896,0.005756171481977432,0.2010114971546798,,0.04545302084258806,0.0016633935655833067,0.14309976552532266,0.007093879225602629,0.23149690320764346,0.023381548833065247,0.030367455322894678,0.2749831146451272,0.010189888401024165,0.0089424319081891,0.004876986093278633,0.3341211562921859
Rhyodacite,0.012046599522089729,1.0,,0.013419155790042148,,0.0008576152259035047,0.005687478119937145,0.35881450045029456,0.09449519135372002,0.12303482744846267,0.05802134449023018,,0.019219010839996102,0.0012006006145485288,0.033768514722758165,0.1784244264318574,0.00018115436853915128,0.15349809902214423,0.26274614640316485,0.01924904746957783,0.054964681066785356,0.29961311796840995,0.3170097416093023,0.04354418336534729
Foidite,,,1.0,,,,,,,,,,,,,,,,,,,,,
Tephrite,0.18946285529600534,0.013419155790042148,,1.0,,0.0011061193874116347,0.00837284515449217,0.015544210756304919,0.23995284214220783,0.027297642459887254,0.307668945495622,,0.16199285292452312,1.888027142125563e-06,0.4322969730709996,0.01896329244563617,0.6974548866277771,0.11073919112696383,0.07731648192680127,0.483798269986231,0.038433472620136806,0.03930216281745282,0.01792059298553287,0.36846326036807464
Benmoreite,,,,,1.0,,,,,,,,,,,,,,,,,,,
Boninite,0.005979072168295438,0.0008576152259035047,,0.0011061193874116347,,1.0,0.02039190648023588,0.018007440823667436,0.00827298676991718,0.08639805246825819,0.0008780655506457295,,0.14520275775362443,0.08604837645356143,0.12586168390807093,0.00559721769429057,0.002927466563838129,0.01714648149906538,0.0077110941732115015,0.006396894463184563,0.008440581851195795,0.008873673353959291,0.00017779619872941734,0.03340302708251399
Kimberlite,0.004740693067570241,0.005687478119937145,,0.00837284515449217,,0.02039190648023588,1.0,0.004328176018923949,0.0016313347221520913,0.030713865015510343,0.00017800305586162932,,0.01748790729663396,4.751006859140656e-05,0.00013998844305699234,9.019216068889476e-05,0.002229598156300907,0.01426983691934141,0.00027034713521982784,0.0013871788435464991,9.091667967628602e-06,0.0012055698233866742,0.06126715424842359,0.01291349156125972
Rhyolite,0.002205766942427681,0.35881450045029456,,0.015544210756304919,,0.018007440823667436,0.004328176018923949,1.0,0.03727159723017751,0.06129624780154998,0.015777347268003086,,0.009612500692784999,0.0038226635059190705,0.016157167996844607,0.11399123599098054,0.0005720578339064088,0.05068135816852322,0.10909298538000128,0.014474902987816353,0.042104637130474694,0.2241363666940497,0.16290769178627307,0.033457294849041724
Shoshonite,0.028978514145475896,0.09449519135372002,,0.23995284214220783,,0.00827298676991718,0.0016313347221520913,0.03727159723017751,1.0,0.25064987856304605,0.20577419813334796,,0.030465467656521295,4.189930635400165e-05,0.20060655427150356,0.0629034947578404,0.011677459216332788,0.47626210801100627,0.4684265750622042,0.13153385774770174,0.06414090415896727,0.1310744933295657,0.168541934636532,0.35980579140946317
Andesite,0.005756171481977432,0.12303482744846267,,0.027297642459887254,,0.08639805246825819,0.030713865015510343,0.06129624780154998,0.25064987856304605,1.0,0.12688303263594894,,0.039539523059139714,0.015352039412558067,0.24625529595986256,0.17629870048955076,0.016520217900136466,0.41051974622090304,0.35504921506257664,0.11933464413282388,0.048555360982578434,0.4324157015570374,0.11788971770906231,0.1438028448544132
