,Basanite,Rhyodacite,Foidite,Tephrite,Benmoreite,Boninite,Kimberlite,Rhyolite,Shoshonite,Andesite,Mugearite,Ankaramite,Picrite,Komatiite,Basalt,Adakite,Nephelinite,Trachyandesite,Latite,Hawaiite,Phonolite,Dacite,Trachyte,Trachybasalt
Basanite,0.5,0.01190320636201771,,0.1592843815613362,,0.0059435353415534745,0.0047183249372496775,0.002200912242958978,0.02816240936725618,0.0057232276024672445,0.16736850365787237,,0.0434768659484622,0.0016606312821936995,0.12518571855323563,0.0070439105747096935,0.1879800936605446,0.02284734257689774,0.029472451954898147,0.21567588737962598,0.010087101957784589,0.008863173581942121,0.004853316536026154,0.2504428887259247
Rhyodacite,0.01190320636201771,0.5,,0.013241466488346407,,0.0008568803522666234,0.005655313647306705,0.26406437400497845,0.08633678073710328,0.10955566509722413,0.05483948390302626,,0.018856605533835783,0.001199160901233565,0.03266545096105427,0.151409307571897,0.00018112155757775948,0.13307182660488934,0.2080751916381428,0.01888551921374483,0.052100967978572325,0.23054023834167908,0.24070417370029207,0.04172720624527918
Foidite,,,0.5,,,,,,,,,,,,,,,,,,,,,
Tephrite,0.1592843815613362,0.013241466488346407,,0.5,,0.0011048972391543086,0.00830332271909739,0.01530628661132212,0.19351771614769853,0.026572281811649483,0.23528045577239876,,0.1394095088595569,1.8880235774858037e-06,0.3018207684570527,0.018610378397559302,0.4108827233773295,0.09969864394053393,0.07176765901559332,0.3260539385793464,0.03701101094436305,0.03781591554751341,0.017605099168857826,0.2692533084658548
Benmoreite,,,,,0.5,,,,,,,,,,,,,,,,,,,
Boninite,0.0059435353415534745,0.0008568803522666234,,0.0011048972391543086,,0.5,0.019984386734873474,0.01768890884441636,0.008205106036233652,0.07952706862090267,0.0008772952279283397,,0.12679218310515364,0.07923070308759934,0.11179142669744485,0.005566063226710486,0.002918921518689697,0.016857435788201303,0.0076520882004759115,0.00635623430316395,0.008369934732001172,0.008795623860873607,0.00017776459286053805,0.032323330014637996
Kimberlite,0.0047183249372496775,0.005655313647306705,,0.00830332271909739,,0.019984386734873474,0.5,0.0043095236420434705,0.0016286778035000432,0.02979863379935047,0.00017797137641277196,,0.017187336744962037,4.750781149202394e-05,0.00013996884903573934,9.018402679665835e-05,0.002224638107278482,0.01406907353439931,0.000270274067399982,0.0013852572440047463,9.091585309953665e-06,0.0012041181748512822,0.057730189804858556,0.012748859274601468
Rhyolite,0.002200912242958978,0.26406437400497845,,0.01530628661132212,,0.01768890884441636,0.0043095236420434705,0.5,0.03593234147132122,0.05775602045943694,0.015532288951350658,,0.009520980263407006,0.0038081063965702444,0.015900264748115005,0.10232686964505301,0.0005717307708400644,0.04823665878765332,0.09836234366104431,0.014268369720320417,0.04040346394236711,0.18309754761992825,0.14008652013990922,0.03237414358174216
Shoshonite,0.02816240936725618,0.08633678073710328,,0.19351771614769853,,0.008205106036233652,0.0016286778035000432,0.03593234147132122,0.5,0.20041570615353532,0.17065732410919543,,0.029564763315946617,4.189755087568203e-05,0.16708767210855877,0.05918081469115087,0.011542670156334608,0.3226135151925579,0.3189989768758858,0.1162438550531025,0.06027482254303566,0.11588493428378814,0.1442326797531284,0.26460086703743035
Andesite,0.0057232276024672445,0.10955566509722413,,0.026572281811649483,,0.07952706862090267,0.02979863379935047,0.05775602045943694,0.20041570615353532,0.5,0.11259645319102059,,0.038035613059504904,0.015119917837994535,0.19759618816319444,0.149875792956482,0.016251735685358912,0.2910414741238306,0.26201942417728374,0.1066121242278491,0.04630691214727877,0.30187863836385004,0.10545737727211464,0.12572345444088914
Mugearite,0.16736850365787237,0.05483948390302626,,0.23528045577239876,,0.0008772952279283397,0.00017797137641277196,0.015532288951350658,0.17065732410919543,0.11259645319102059,0.5,,0.030771723075027412,1.1202255315084614e-05,0.2622393608682571,0.06335009868649102,0.06331795298657013,0.2279802818475228,0.14712087298865917,0.3077291218722028,0.03181878680314346,0.06664040262227146,0.027451122158259955,0.3224414525978024
Ankaramite,,,,,,,,,,,,0.5,,,,,,,,,,,,
Picrite,0.0434768659484622,0.018856605533835783,,0.1394095088595569,,0.12679218310515364,0.017187336744962037,0.009520980263407006,0.029564763315946617,0.038035613059504904,0.030771723075027412,,0.5,0.13999721948100394,0.16544407249086482,0.004893546116964091,0.08616038213991128,0.004484005552581545,0.019352430238544674,0.05192907953835838,0.008666740052357652,0.009894707305333027,0.013232002497298567,0.06074251834735297
