,Adakite,Andesite,Ankaramite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Foidite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Adakite,0,5,0,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Andesite,10,378,0,37,16,13,1,101,0,0,74,2,5,0,0,0,1,2,16,9,0,47,44,2
Ankaramite,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0
Basalt,5,148,0,362,117,6,5,22,4,8,89,15,1,16,1,1,36,0,9,5,7,26,159,0
Basanite,0,9,0,4,30,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,0,7,0
Benmoreite,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,2,0
Boninite,0,19,0,8,1,0,1,2,0,0,0,15,0,0,0,0,1,0,2,0,0,0,6,0
Dacite,1,123,0,22,7,1,1,136,0,0,45,2,3,0,0,0,0,4,36,2,0,46,20,5
Foidite,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Hawaiite,0,3,0,3,5,0,0,1,0,23,11,0,0,0,0,0,0,0,0,0,0,1,17,0
Kimberlite,0,0,0,0,0,0,0,2,0,0,70,4,0,0,0,0,0,0,1,0,0,1,2,0
Komatiite,0,5,0,6,8,0,1,3,0,0,16,21,0,0,0,0,10,1,4,0,0,0,3,0
Latite,3,8,0,2,2,0,0,3,0,0,4,0,4,0,0,0,0,0,1,5,0,10,0,2
Mugearite,0,3,0,2,0,0,0,0,0,28,2,0,0,0,0,0,0,0,1,0,0,4,10,1
Nephelinite,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phonolite,0,2,0,2,3,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,1,4,10
Picrite,0,6,0,18,8,0,0,2,0,0,13,0,0,0,1,0,10,0,1,0,2,0,12,0
Rhyodacite,0,7,0,2,0,0,0,6,0,0,5,0,0,0,0,0,0,0,1,0,0,0,6,0
Rhyolite,3,57,0,31,9,0,1,91,0,0,22,1,0,0,0,1,0,7,106,1,0,22,16,10
Shoshonite,0,16,0,0,2,0,0,0,0,0,10,0,1,0,0,0,0,0,0,9,0,8,8,0
Tephrite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0
Trachyandesite,0,35,0,4,2,4,0,6,0,0,9,0,0,0,0,0,0,1,5,5,0,32,18,24
Trachybasalt,0,9,0,8,6,0,0,1,0,0,8,0,2,0,0,1,3,0,0,2,0,1,18,1
Trachyte,0,25,0,4,4,1,0,10,0,0,4,0,2,1,0,1,0,2,11,1,0,6,4,21
