Label,CitationID,n_dropped,median_mahalanobis
Adakite,10558,17,117.97766524280254
Adakite,10965,6,137.45990561651877
Adakite,11115,5,122.68072761384775
Adakite,12084,29,94.55380310085708
Adakite,14501,2,171.88533657144606
Adakite,15010,13,59.14216308832002
Adakite,15050,13,56.87251930973101
Adakite,18473,19,56.41528427275179
Adakite,19488,18,143.91218198963733
Adakite,23304,4,239.56053803364887
Adakite,3521,14,263.8503937589583
Adakite,3941,2,69.69023512101188
Adakite,4096,4,75.22577314275775
Adakite,4687,15,53.83079867945697
Adakite,5372,6,100.55530078783482
Adakite,6954,4,57.74769448702766
Adakite,7189,1,60.673214157449564
Adakite,7993,9,197.6388258133178
Adakite,9146,33,166.5244116921761
Adakite,9839,2,112.28274079022684
Andesite,10041,3,85.07749903040599
Andesite,10063,1,83.48560179613685
Andesite,10098,1,54.93685224051472
Andesite,10193,51,59.95386417425861
Andesite,10224,2,122.28167345650476
Andesite,10252,3,76.2019313626362
Andesite,10275,24,56.30880080489321
Andesite,10351,2,98.71273495861882
Andesite,10496,2,57.3482402744409
Andesite,10698,7,79.37302972409064
Andesite,10761,5,54.923929730414564
Andesite,10791,16,64.07686576374971
Andesite,10794,4,53.637561275562575
Andesite,10822,2,80.48580094937026
Andesite,10982,3,92.39311710281443
Andesite,10990,2,133.59728792380463
Andesite,11010,1,82.6636714428624
Andesite,11021,3,67.14868724166453
Andesite,11043,1,80.9608456498468
Andesite,11103,7,76.20372093682585
Andesite,11105,2,79.67746153053623
Andesite,11114,2,63.07048491515813
Andesite,11170,13,62.54803114417592
Andesite,11185,2,79.25791718299509
Andesite,11199,2,63.551031743914926
Andesite,11228,6,112.77983163894129
Andesite,11335,11,75.00453190608098
Andesite,11378,2,53.44295594064455
Andesite,11451,3,82.4251329387882
Andesite,11502,1,55.62191095707519
Andesite,11525,1,60.377371858663025
Andesite,11590,1,67.63605444657799
Andesite,11716,4,57.74461515376461
Andesite,11718,4,99.7543441834774
Andesite,11845,1,65.23860530939962
Andesite,11931,4,62.419631649337646
Andesite,12088,8,63.31936373047353
Andesite,12507,9,82.09522964802285
Andesite,12545,1,61.139098930232294
Andesite,12586,4,72.23319123417302
Andesite,12618,33,97.65522288191417
Andesite,12807,3,62.117397242868705
Andesite,12828,2,58.65934327830223
Andesite,12903,10,61.13633428190198
Andesite,12925,3,56.42997951250595
Andesite,13057,1,53.391586845009996
Andesite,13064,2,89.0511158731532
Andesite,13141,1,66.65543830942013
Andesite,13221,1,60.51129789609158
Andesite,13302,3,55.658827499601955
Andesite,13468,15,71.88454849312598
Andesite,13538,6,80.63078735629338
Andesite,13539,12,57.67000772595782
Andesite,13693,1,73.32881205403207
Andesite,13743,2,52.947973283449286
Andesite,13766,11,76.70501991099133
Andesite,13820,45,104.5941592482251
Andesite,13883,4,52.97614601027698
Andesite,13978,1,66.7308876285698
Andesite,14078,2,82.79388741031676
Andesite,14236,1,74.34471412821978
Andesite,14420,4,90.03847538136358
Andesite,14714,1,101.03445670454717
Andesite,14822,5,51.67428992838415
Andesite,14981,1,55.5123251894688
Andesite,14982,2,117.75969651524167
Andesite,15014,5,52.524591235901724
Andesite,15179,1,96.27321384472891
Andesite,15223,4,116.73717590212948
Andesite,15227,7,55.473367141822415
Andesite,15307,12,63.639328643919185
Andesite,15414,1,54.311682753751015
Andesite,15415,1,91.05332951400487
Andesite,15463,2,56.57237437999065
Andesite,15579,10,62.38072079149212
Andesite,15683,3,65.36170336134485
Andesite,15899,2,52.64170079500633
Andesite,16026,15,55.88481962575449
Andesite,16032,3,56.18220146552353
Andesite,16195,3,55.331726788577434
Andesite,16400,1,52.22676580333407
Andesite,16403,1,51.44168926238352
Andesite,16467,2,75.92174920655012
Andesite,16896,1,142.2079050309421
Andesite,16943,1,53.72878476527824
Andesite,17010,12,64.7482530719424
Andesite,1770,8,97.26314680138492
Andesite,17879,37,78.72695201175755
Andesite,18103,2,51.651335022190054
Andesite,18292,15,79.40870003703792
Andesite,18300,5,66.01121677614604
Andesite,18505,3,69.8105377072937
Andesite,18600,3,56.29998844170034
Andesite,18697,2,67.29175054181158
