,Adakite,Andesite,Ankaramite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Foidite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Adakite,25,10,0,0,0,0,0,38,0,0,0,0,0,0,0,1,0,3,1,4,0,1,0,1
Andesite,130,4070,12,172,0,364,72,646,4,37,2,13,68,148,0,6,3,125,110,96,0,219,43,46
Ankaramite,0,0,5,1,12,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0
Basalt,6,545,90,3876,630,33,67,20,44,1365,7,69,19,240,14,2,139,11,16,159,59,21,675,14
Basanite,0,0,3,5,510,1,1,0,5,28,0,0,1,2,24,0,2,0,0,8,28,1,5,0
Benmoreite,7,12,0,0,0,20,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,15
Boninite,0,7,3,23,0,0,65,0,0,3,0,15,0,0,0,0,9,0,0,0,0,0,1,0
Dacite,71,381,1,6,1,42,22,1332,0,1,2,5,43,0,0,3,0,132,65,20,0,78,1,82
Foidite,0,0,0,0,4,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0
Hawaiite,0,0,0,2,24,0,0,0,0,127,0,0,0,2,1,0,0,0,0,1,2,0,35,0
Kimberlite,0,1,0,0,0,0,0,1,4,0,768,6,2,0,0,0,16,0,0,1,3,1,0,0
Komatiite,0,2,8,40,0,0,27,3,0,1,1,601,1,0,0,0,75,0,4,0,0,0,0,0
Latite,1,34,0,0,0,22,0,16,0,1,0,0,34,4,0,0,0,0,0,19,0,30,0,3
Mugearite,1,1,0,1,1,24,0,0,0,27,0,0,0,22,0,0,0,0,0,1,0,4,4,0
Nephelinite,0,0,1,2,116,0,0,0,3,2,0,0,0,0,22,0,0,0,0,0,2,0,1,0
Phonolite,0,0,0,0,0,6,0,0,1,0,0,0,2,0,1,155,1,0,4,0,2,1,3,35
Picrite,0,0,49,113,38,0,0,0,4,11,3,82,0,4,0,0,377,0,0,2,1,1,3,2
Rhyodacite,3,13,0,2,0,2,0,103,0,0,0,1,6,0,0,1,0,38,24,0,0,2,0,22
Rhyolite,53,19,0,8,0,6,10,512,0,2,1,11,19,0,0,14,5,301,1612,36,0,20,0,220
Shoshonite,0,5,0,0,2,4,0,1,2,1,0,0,11,4,0,0,5,1,0,105,6,18,27,2
Tephrite,1,0,0,5,43,0,0,0,4,14,0,0,3,7,4,0,0,0,0,11,22,0,12,0
Trachyandesite,8,87,0,4,0,74,0,36,1,4,0,0,30,12,0,1,0,3,1,47,1,126,13,17
Trachybasalt,0,5,1,9,44,2,1,1,2,114,0,0,33,8,1,3,3,0,0,43,14,16,183,1
Trachyte,3,15,1,0,0,28,0,53,2,1,0,0,57,0,0,72,0,23,34,3,21,17,2,304
