Label,CitationID,n_dropped,median_mahalanobis
Andesite,10063,1,25.867162464757055
Andesite,10179,1,20.66939185529495
Andesite,10912,1,26.997090869229368
Andesite,11043,1,41.420378770005904
Andesite,11105,2,53.83761069659138
Andesite,11132,4,93.01593715418423
Andesite,11140,3,178.2018698158756
Andesite,11170,13,66.72962688361014
Andesite,11440,16,28.323325570911663
Andesite,11617,1,18.98633512309986
Andesite,11845,1,57.87653496420634
Andesite,12276,9,21.899148836496273
Andesite,13005,12,32.09727544104422
Andesite,13064,2,26.7928244508093
Andesite,13152,1,55.434165770442114
Andesite,13538,6,44.1500502226658
Andesite,13575,38,19.462252593768085
Andesite,14292,2,21.32504859966786
Andesite,14671,1,29.368816354798437
Andesite,14689,5,22.110350789622295
Andesite,14925,7,23.873151091563585
Andesite,15463,2,29.514278213823495
Andesite,15470,2,29.327924971475554
Andesite,15615,1,30.36925244616073
Andesite,16345,5,92.40945980270907
Andesite,16388,4,25.7404575025191
Andesite,16415,7,26.52911789315003
Andesite,18675,4,23.994773274472497
Andesite,19259,17,354.4206738958739
Andesite,20122,1,18.83880840534092
Andesite,20305,1,20.35813658532182
Andesite,20521,50,19.888359920336704
Andesite,20731,5,39.811127428123015
Andesite,20891,12,38.957787059205884
Andesite,21021,1,87.52817774469955
Andesite,21146,1,65.05086870213366
Andesite,21460,2,22.647928448530703
Andesite,22085,1,18.70083915881178
Andesite,23148,3,22.673091764854625
Andesite,23762,2,19.748538139323472
Andesite,23782,3,18.940161402259285
Andesite,24195,3,21.660785584869366
Andesite,24356,9,61.19015303571828
Andesite,24623,40,33.88804433605824
Andesite,24716,2,21.78050539845373
Andesite,24839,10,23.519065255207245
Andesite,25621,4,21.779380652459608
Andesite,25712,9,19.67881418980674
Andesite,2609,3,278.6045667094104
Andesite,2633,1,20.165615163549834
Andesite,26444,2,33.57404798006489
Andesite,26729,2,32.99232311105007
Andesite,26932,21,44.02026969252972
Andesite,27299,2,21.359279188866637
Andesite,27313,4,23.642437128148302
Andesite,2830,1,23.25751879953564
Andesite,28668,17,462.90313419858506
Andesite,2871,5,18.781566613622925
Andesite,29224,4,18.651861571681913
Andesite,2971,17,26.63072692236136
Andesite,5454,4,21.14951671036183
Andesite,5820,8,71.56737310585038
Andesite,5966,20,588.6185545855576
Andesite,6490,2,18.393528526651718
Andesite,7025,2,28.362680510399507
Andesite,7093,2,43.83212194914929
Andesite,7163,3,48.20638554397269
Andesite,7956,1,22.349315467819704
Andesite,8557,1,358.164041869089
Andesite,8701,2,24.78129304843229
Andesite,8738,7,30.872042398465478
Andesite,8811,1,33.32484331485295
Andesite,8823,1,19.100098422416238
Andesite,8917,3,57.43217136603524
Andesite,9050,2,85.96669197189998
Andesite,9319,1,177.4198266903344
Andesite,9360,1,458.8845140933972
Andesite,9484,2,78.34418217221926
Andesite,9911,1,24.688363006555484
Andesite,9922,2,31.451060493207663
Ankaramite,13759,3,24.530910240356757
Ankaramite,22065,5,59.70989662068908
Ankaramite,2745,1,62.160184675513676
