,Andesite,Ankaramite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Foidite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Andesite,1054,2,93,0,34,13,272,0,11,0,1,26,83,0,0,2,150,71,21,0,48,17,5
Ankaramite,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basalt,74,5,599,86,4,6,7,6,240,4,7,5,45,0,1,19,0,3,12,0,3,86,1
Basanite,0,0,2,109,0,0,0,2,8,0,0,0,1,10,0,0,0,0,0,11,0,2,0
Benmoreite,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Boninite,5,0,22,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,1,0,0
Dacite,83,0,0,0,15,4,207,0,0,0,0,27,0,0,0,0,7,5,0,0,20,0,17
Foidite,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Hawaiite,0,0,2,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,8,0
Kimberlite,0,0,0,0,0,0,0,1,0,318,2,1,0,0,0,1,1,0,1,0,0,0,0
Komatiite,0,0,4,0,0,0,0,0,0,0,21,0,0,0,0,8,0,1,0,0,0,0,0
Latite,10,0,0,0,1,0,4,0,0,0,0,13,0,0,0,0,0,0,3,0,3,0,1
Mugearite,1,0,0,0,1,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,2,2,0
Nephelinite,0,0,0,19,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0
Phonolite,0,0,0,0,2,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6
Picrite,0,1,14,1,1,0,0,0,1,0,0,0,3,0,0,41,0,0,2,0,1,3,1
Rhyodacite,2,0,0,0,0,0,13,0,0,0,0,1,0,0,0,0,4,7,0,0,1,0,0
Rhyolite,0,0,0,0,1,1,34,0,2,0,2,1,0,0,3,0,43,220,7,0,1,0,29
Shoshonite,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,5,0
Tephrite,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0
Trachyandesite,5,0,1,0,3,0,12,1,4,0,0,4,0,0,0,0,2,1,4,0,11,0,4
Trachybasalt,0,0,0,9,0,0,0,0,17,0,0,1,2,0,0,0,0,0,6,1,0,12,1
Trachyte,0,0,0,0,0,0,9,0,0,0,0,3,0,0,5,0,6,0,2,0,0,0,39
