Label,CitationID,n_dropped,median_mahalanobis
Andesite,10063,1,26.36541397619609
Andesite,10179,1,20.78033718529759
Andesite,10912,1,27.52271345390207
Andesite,11043,1,42.031625695479704
Andesite,11105,2,54.86192214738615
Andesite,11132,4,93.5445296853205
Andesite,11140,3,179.55936189492564
Andesite,11170,13,67.65290028080756
Andesite,11440,16,28.689020642186524
Andesite,11617,1,19.332389740636465
Andesite,11845,1,57.22170860369937
Andesite,11964,1,18.31112972091881
Andesite,12276,9,21.743794691245714
Andesite,13005,12,31.311480213002817
Andesite,13064,2,27.415658211250786
Andesite,13152,1,56.311444013761125
Andesite,13538,6,45.2440176176584
Andesite,13575,38,19.243237374868677
Andesite,14292,2,21.081555821427912
Andesite,14671,1,29.847797564960352
Andesite,14689,5,21.855453234524727
Andesite,14925,7,24.198035535880223
Andesite,15463,2,29.542385917629737
Andesite,15470,2,29.987852542263234
Andesite,15615,1,30.793060465442455
Andesite,16345,5,93.61740785281053
Andesite,16388,4,25.76819958736135
Andesite,16415,7,26.174129599583278
Andesite,18610,1,18.33591003091779
Andesite,18675,4,24.44981926382691
Andesite,19259,17,356.9215352335409
Andesite,20122,1,19.260055252720097
Andesite,20305,1,20.825543649684242
Andesite,20521,50,19.59595910884383
Andesite,20731,5,40.29035288523663
Andesite,20891,12,39.831800047268175
Andesite,21021,1,87.53862452242828
Andesite,21146,1,66.63967792571881
Andesite,21460,2,21.495349948915322
Andesite,22085,1,19.19498136688146
Andesite,23148,3,23.234733763761618
Andesite,2336,28,18.36762553095618
Andesite,23762,2,19.98587267458074
Andesite,23782,3,19.32182772805957
Andesite,24195,3,21.797496342537773
Andesite,24356,9,62.42855046270435
Andesite,24623,40,31.760939424949648
Andesite,24716,2,21.165188619144978
Andesite,24839,10,23.776965242976686
Andesite,25621,4,20.3918037791141
Andesite,25712,9,19.979070187193273
Andesite,2609,3,281.6330360391837
Andesite,2633,1,20.582794338004646
Andesite,26444,2,34.11043812095992
Andesite,26729,2,33.614496667516676
Andesite,26932,21,44.93159231653712
Andesite,27299,2,21.789834638094746
Andesite,27313,4,24.088610734884746
Andesite,2830,1,22.990995923834525
Andesite,28668,17,468.8436027105906
Andesite,2871,5,18.680040346784278
Andesite,29224,4,18.53855563768484
Andesite,2971,17,26.9780070349871
Andesite,5454,4,21.183840653582507
Andesite,5820,8,72.89354730192387
Andesite,5966,20,596.8078410610723
Andesite,6490,2,18.724492415123933
Andesite,7025,2,28.878531902803154
Andesite,7093,2,44.89843096435069
Andesite,7163,3,49.294545548839864
Andesite,7956,1,22.60294729303176
Andesite,8557,1,363.9257622860515
Andesite,8701,2,25.30726724423195
Andesite,8738,7,29.566240186740867
Andesite,8811,1,33.91261676363738
Andesite,8823,1,19.25741401495174
Andesite,8917,3,56.30433241847967
Andesite,9050,2,86.84533810887642
Andesite,9319,1,179.23147360721708
Andesite,9360,1,465.98514004294066
Andesite,9484,2,79.78570001639017
Andesite,9911,1,25.26451253674628
Andesite,9922,2,31.959397074128642
Basalt,10138,1,139.00835129229677
Basalt,10187,1,20.609127644065513
Basalt,10968,2,185.60163497217292
Basalt,11021,2,20.52995372040098
Basalt,11105,5,53.29638626975592
Basalt,11501,4,23.486420613869694
Basalt,11574,1,20.130795661534247
Basalt,12022,3,22.32002011457392
Basalt,12764,30,49.18863036242578
Basalt,14398,3,190.89671600480315
Basalt,14964,2,73.36924036241014
Basalt,15335,24,19.048812065185942
Basalt,16057,1,188.31412383536795
Basalt,16344,3,19.43323113940432
Basalt,16388,8,19.97946787526604
Basalt,16512,45,22.386795878822813
Basalt,16566,2,93.01240629627759
Basalt,16962,5,61.8806647488768
Basalt,17410,3,62.158998300124786
Basalt,19065,3,217.9327043059674
Basalt,19684,25,399.4739699533602
Basalt,20896,7,41.607330797493965
Basalt,21426,2,48.33401151842168
Basalt,21956,12,34.748594018325534
Basalt,23474,1,26.78195029947971
Basalt,23505,1,30.557274777443737
Basalt,23666,10,385.12578101809936
Basalt,24331,4,37.16621445189686
Basalt,24520,4,27.230760798386946
Basalt,25630,5,137.25284869875836
Basalt,25751,2,23.001777552409614
Basalt,25903,3,44.178716695158386
Basalt,26045,2,22.906581972994985
Basalt,2633,1,38.83580867165904
Basalt,27006,2,84.35992303710728
Basalt,29189,1,24.351371215073133
Basalt,2951,13,26.79448626678334
Basalt,3358,1,23.13009484891099
Basalt,3382,5,18.330975927190163
Basalt,3383,1,21.26687792990642
Basalt,3853,9,182.51314021305225
Basalt,3997,5,200.16532754414706
Basalt,4245,2,87.58353296606441
Basalt,4618,1,361.6050751118671
Basalt,5129,3,25.86799504990896
Basalt,5310,2,61.564862298969395
Basalt,5634,5,48.03844131314521
Basalt,5755,6,21.81001704256375
Basalt,5820,18,30.08246300872695
Basalt,6162,1,194.18793679201497
Basalt,6274,1,25.480762083687445
Basalt,7487,3,89.07625936127192
Basalt,7903,3,23.17042184167227
Basalt,7990,2,70.6127754439172
Basalt,8690,5,421.9765618980272
Basalt,8917,3,64.61332546116483
Basalt,9078,10,48.6061706827743
Basalt,9079,1,207.3219510759179
Basalt,9386,1,26.68236169816039
Basalt,9404,1,28.08645677539532
Basalt,9469,1,125.00447041436117
Basanite,10383,11,31.876874330195037
Basanite,12580,4,31.023566361139547
Basanite,13555,2,23.525660304605005
Basanite,14014,1,28.919185957335657
Basanite,14292,3,32.774914514039615
Basanite,14503,6,31.45856949128397
Basanite,14590,1,21.74856605128395
Basanite,14943,1,37.14915447358348
Basanite,15023,9,32.363356847309475
Basanite,15230,3,32.228733289712366
Basanite,15675,1,32.240139830102585
Basanite,15915,14,30.8095862091587
Basanite,16317,2,37.668087136587204
Basanite,21628,8,30.217171301131053
