,Basanite,Rhyodacite,Foidite,Tephrite,Benmoreite,Boninite,Kimberlite,Rhyolite,Shoshonite,Andesite,Mugearite,Ankaramite,Picrite,Komatiite,Basalt,Nephelinite,Trachyandesite,Latite,Hawaiite,Phonolite,Dacite,Trachyte,Trachybasalt
Basanite,1.0,0.004550507903444392,0.4522025894573668,0.7123873966454162,0.04937205525442608,0.23890361373242708,0.005544209179371806,0.005978420980758296,0.23920237418104612,0.033281765784198655,0.22442277190820648,,0.14882142075836494,0.01057696245660322,0.32258282838660973,0.7610785379513157,0.08616533834467241,0.0573639809984768,0.6105896009377184,0.0462050646939907,0.00672974730098727,0.024361657440191718,0.5484419263908084
Rhyodacite,0.004550507903444392,1.0,0.012631049822072542,0.05371364584600175,0.18683230755800048,0.19163034382506677,0.03290395638041392,0.5956519315022754,0.18695853639999244,0.3195166093436827,0.1350288042638813,,0.05475740394836693,0.0046096828095627635,0.08699829657017745,0.002024513150110741,0.379171935184046,0.3783437469557534,0.04019390377519082,0.20461417604868926,0.6089892746244304,0.5712053535848767,0.07042450010607902
Foidite,0.4522025894573668,0.012631049822072542,1.0,0.923471985213137,0.10570688592710466,0.10959883221271578,0.0159690853138797,0.011582098476368876,0.4199790634137266,0.0628846444924947,0.1808126746720221,,0.1253860123276963,0.00823174505948969,0.22392851693838903,0.6260911252007735,0.20869160461959071,0.3064752059838739,0.17274029343628847,0.17812229517553688,0.013793378193269623,0.12072711244224148,0.4644272945419101
Tephrite,0.7123873966454162,0.05371364584600175,0.923471985213137,1.0,0.15436636276362944,0.2001510916731447,0.0032568699445703828,0.029746952936558338,0.849307566274177,0.1342696286084681,0.439867175940756,,0.15296715970334632,0.01164109633754301,0.3544566010323771,0.6097469952087289,0.4692743742024378,0.5179493338678406,0.31411383878635424,0.2580311102969101,0.036244521120016235,0.24989791444754286,0.7542224031169993
Benmoreite,0.04937205525442608,0.18683230755800048,0.10570688592710466,0.15436636276362944,1.0,0.1951381989691384,8.593819064222584e-05,0.19888200089946506,0.09162977875845055,0.4242968943057559,0.39124436036444954,,0.07259944798042636,0.0016812670920633996,0.07894269529679623,0.06658330107694167,0.6564444256039935,0.4271695832047659,0.11617722733789435,0.19585177662518063,0.38109623141267324,0.4566283907381425,0.20246678405803492
Boninite,0.23890361373242708,0.19163034382506677,0.10959883221271578,0.2001510916731447,0.1951381989691384,1.0,0.04004213956920629,0.13497098754443096,0.300193114370237,0.2793361106761916,0.2434628779303327,,0.49643980828567663,0.49685004431819085,0.2419193987751624,0.2100616940342673,0.15872478342391522,0.10444487175493192,0.19408853579572496,0.04379852575502301,0.251757151784313,0.28419140825880085,0.1764559350847482
Kimberlite,0.005544209179371806,0.03290395638041392,0.0159690853138797,0.0032568699445703828,8.593819064222584e-05,0.04004213956920629,1.0,0.0038217903965336738,0.0468870706635537,0.008259312657556198,0.007229128587796521,,0.05858082938578127,0.013540802439700001,0.010309890608721407,0.0013345989188722797,0.022025217674936856,0.017363303875980746,2.1261764518103954e-05,0.0001537954712671519,0.02133501564685204,0.006785460434959815,0.006780211981138259
Rhyolite,0.005978420980758296,0.5956519315022754,0.011582098476368876,0.029746952936558338,0.19888200089946506,0.13497098754443096,0.0038217903965336738,1.0,0.12411701313922244,0.11950523032293242,0.04352284305035338,,0.033787805994666686,0.0020061174004857483,0.0341165246114328,0.005565088506995073,0.14001585583497975,0.11836202830016089,0.003653916786516264,0.20617052663210672,0.3240355906777171,0.44085064434231847,0.0215792885583642
Shoshonite,0.23920237418104612,0.18695853639999244,0.4199790634137266,0.849307566274177,0.09162977875845055,0.300193114370237,0.0468870706635537,0.12411701313922244,1.0,0.31029658337702626,0.29463687840832375,,0.1952615718276417,0.014922390927011791,0.3599584203904137,0.07593255845307315,0.6084335670632582,0.8201139253324552,0.1641541966377186,0.11069616619059963,0.1707396104023789,0.2699013902714225,0.6470767439714429
Andesite,0.033281765784198655,0.3195166093436827,0.0628846444924947,0.1342696286084681,0.4242968943057559,0.2793361106761916,0.008259312657556198,0.11950523032293242,0.31029658337702626,1.0,0.35996676127563654,,0.14829513882232917,0.0270962247181986,0.33690012396708857,0.018151435284290657,0.590677776452978,0.527840304065582,0.13048254884977795,0.06440328045423062,0.6203544037375915,0.2358232327802086,0.21792202992563303
