,Adakite,Andesite,Ankaramite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Foidite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Adakite,0,13,0,0,0,0,0,97,0,2,0,0,0,4,0,0,0,4,14,0,0,6,0,2
Andesite,0,2076,0,191,1,7,202,323,0,168,0,8,0,158,0,3,7,7,10,0,0,756,3,46
Ankaramite,0,0,0,2,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Basalt,2,156,116,4398,424,22,638,19,0,2832,8,41,0,294,2,4,292,5,10,0,6,33,110,7
Basanite,0,0,10,15,160,6,0,0,0,286,0,0,0,59,1,0,0,0,0,0,10,1,24,0
Benmoreite,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0,25
Boninite,0,9,0,14,1,0,87,3,0,9,0,20,0,3,0,0,12,0,1,0,0,2,0,0
Dacite,6,261,0,4,0,0,30,1449,0,3,1,5,0,5,0,1,0,178,120,0,0,87,0,53
Foidite,0,0,0,0,2,0,0,0,3,2,0,1,0,0,0,3,0,0,0,0,2,0,0,0
Hawaiite,0,0,0,8,4,1,0,0,0,200,0,0,0,14,0,0,0,0,0,0,0,1,13,1
Kimberlite,0,1,80,8,21,0,2,0,1,2,468,102,0,0,17,0,82,0,0,0,0,0,0,0
Komatiite,0,0,2,14,3,0,21,1,0,3,18,463,0,0,0,0,127,0,2,0,0,0,0,0
Latite,0,4,0,1,0,17,6,11,0,3,0,8,0,35,0,1,1,2,5,0,0,49,0,8
Mugearite,1,0,0,1,1,2,0,1,0,35,0,0,0,59,0,0,1,0,0,0,0,16,11,0
Nephelinite,0,0,7,0,69,0,2,0,5,11,0,1,0,1,15,1,0,0,0,0,27,0,0,0
Phonolite,0,0,0,0,0,18,0,0,2,3,0,0,0,24,0,363,1,0,0,0,1,1,1,21
Picrite,0,1,11,114,4,0,24,0,0,20,26,41,0,0,3,0,105,0,0,0,0,0,0,0
Rhyodacite,1,3,0,0,0,1,2,109,0,2,0,0,0,0,0,0,0,156,102,0,0,12,1,30
Rhyolite,51,18,0,3,0,0,80,403,0,1,0,14,0,3,0,0,1,435,2273,0,0,7,1,62
Shoshonite,0,1,1,4,0,4,0,2,0,18,0,0,0,51,0,0,0,0,0,0,0,28,7,12
Tephrite,0,0,24,0,18,1,0,0,0,26,0,0,0,18,0,3,10,0,0,0,1,1,5,2
Trachyandesite,0,19,0,2,0,20,3,22,0,11,0,3,0,93,0,2,0,2,2,0,0,292,3,29
Trachybasalt,0,0,1,4,3,2,0,0,0,205,0,0,0,37,0,2,0,0,0,0,0,1,26,0
Trachyte,0,2,0,1,1,27,1,58,0,2,0,0,0,4,0,180,0,11,6,0,0,55,0,454
