,Andesite,Ankaramite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Foidite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Andesite,194,0,14,0,80,4,13,0,298,0,0,1,89,0,16,0,8,3,7,0,20,1,2
Ankaramite,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basalt,16,2,124,372,1,4,1,3,536,0,1,1,20,3,0,14,0,1,0,1,2,4,0
Basanite,0,0,0,35,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Benmoreite,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boninite,0,0,2,4,0,0,0,0,8,1,11,0,0,0,0,9,0,0,0,0,0,0,0
Dacite,29,1,0,0,100,0,135,0,1,0,0,1,3,0,5,0,24,2,6,0,21,0,28
Foidite,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiite,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kimberlite,0,3,0,0,0,0,0,0,0,11,1,0,0,1,0,19,0,0,0,0,0,0,0
Komatiite,1,0,2,1,0,0,0,0,0,0,66,0,0,0,0,34,0,0,0,0,0,0,0
Latite,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Mugearite,0,0,0,0,3,0,0,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Nephelinite,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phonolite,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Picrite,0,0,1,8,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
Rhyodacite,0,0,0,0,27,0,13,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,11
Rhyolite,0,0,0,0,7,0,88,0,0,0,0,0,1,0,34,0,116,134,0,0,0,0,160
Shoshonite,0,0,0,0,2,0,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Tephrite,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Trachyandesite,0,0,0,0,28,0,0,1,3,0,0,0,11,0,0,0,0,0,0,0,7,0,0
Trachybasalt,0,0,1,16,1,0,0,0,44,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Trachyte,0,0,0,0,23,0,7,0,0,0,0,0,2,0,26,0,2,1,0,0,0,0,46
