,Adakite,Andesite,Ankaramite,Basalt,Basanite,Benmoreite,Boninite,Dacite,Foidite,Hawaiite,Kimberlite,Komatiite,Latite,Mugearite,Nephelinite,Phonolite,Picrite,Rhyodacite,Rhyolite,Shoshonite,Tephrite,Trachyandesite,Trachybasalt,Trachyte
Adakite,0,15,0,0,0,2,0,90,0,2,0,0,1,1,0,0,0,11,14,1,0,3,0,2
Andesite,31,2403,2,63,0,225,393,252,0,3,1,1,8,31,1,2,0,25,15,95,1,367,3,44
Ankaramite,0,0,0,1,4,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0
Basalt,1,235,457,4497,409,44,535,15,13,990,14,100,2,436,133,3,945,13,15,364,69,3,119,7
Basanite,0,0,30,4,323,1,0,0,16,36,1,0,0,7,73,1,1,0,0,3,60,0,16,0
Benmoreite,0,0,0,0,0,36,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,0,6
Boninite,1,10,0,6,2,2,104,2,0,3,0,22,0,0,1,0,2,0,1,4,0,1,0,0
Dacite,18,151,0,4,0,3,23,1322,0,0,1,1,1,2,0,1,0,459,112,3,0,58,0,44
Foidite,0,0,0,0,2,0,0,0,6,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
Hawaiite,0,0,5,7,14,2,0,0,0,154,0,0,0,24,0,0,1,0,0,0,7,0,28,0
Kimberlite,0,0,11,3,8,0,4,0,2,0,690,9,0,0,44,0,13,0,0,0,0,0,0,0
Komatiite,0,0,4,14,4,0,26,0,0,2,76,491,0,0,0,0,31,0,6,0,0,0,0,0
Latite,3,13,0,0,0,40,5,8,2,0,0,6,2,21,0,1,1,3,8,17,0,15,0,6
Mugearite,1,0,1,1,6,13,0,1,0,14,0,0,0,55,0,0,1,0,0,28,4,0,3,0
Nephelinite,0,0,0,0,8,0,1,0,40,1,3,0,0,0,82,0,1,1,0,0,1,0,1,0
Phonolite,0,0,0,0,0,4,0,0,37,0,0,0,0,3,0,335,1,0,0,4,14,0,4,33
Picrite,0,1,11,68,6,0,7,0,0,13,9,97,0,0,2,0,132,0,0,2,0,0,1,0
Rhyodacite,2,8,0,0,0,2,0,30,0,0,0,0,1,1,0,0,0,290,61,1,0,7,0,16
Rhyolite,8,7,0,2,0,1,12,96,0,1,0,4,1,4,0,0,0,845,2321,0,0,4,0,46
Shoshonite,0,1,0,5,0,22,0,2,0,8,0,0,3,50,0,1,2,0,0,12,1,9,1,11
Tephrite,0,0,7,0,22,0,0,0,3,8,1,0,0,2,26,2,17,0,0,2,14,0,2,3
Trachyandesite,2,54,0,0,0,219,5,17,0,1,0,3,10,36,0,3,0,4,4,46,1,82,0,16
Trachybasalt,0,0,0,9,17,2,0,0,0,119,0,0,0,82,0,2,1,0,0,5,3,0,41,0
Trachyte,0,1,0,1,0,71,1,57,1,1,0,0,8,0,1,103,0,37,2,3,1,19,0,495
